team_no,team_name,player,nationality,role,designation
2,Chennai Super Kings,Nathan Ellis,Overseas,Bowler,
3,Kolkata Night Riders,Ajinkya Rahane,Indian,Batter,Captain
3,Kolkata Night Riders,Rinku Singh,Indian,Batter,
3,Kolkata Night Riders,Finn Allen,Overseas,Batter,
3,Kolkata Night Riders,Rahul Tripathi,Indian,Batter,
3,Kolkata Night Riders,Manish Pandey,Indian,Batter,
3,Kolkata Night Riders,Rovman Powell,Overseas,Batter,
3,Kolkata Night Riders,Angkrish Raghuvanshi,Indian,Batter,
3,Kolkata Night Riders,Ramandeep Singh,Indian,Batter,
3,Kolkata Night Riders,Sarthak Ranjan,Indian,Batter,
3,Kolkata Night Riders,Tim Seifert,Overseas,Wicket Keeper,
3,Kolkata Night Riders,Tejasvi Dahiya,Indian,Wicket Keeper,
3,Kolkata Night Riders,Daksh Kamra,Indian,All Rounder,
3,Kolkata Night Riders,Sunil Narine,Overseas,All Rounder,
3,Kolkata Night Riders,Cameron Green,Overseas,All Rounder,
3,Kolkata Night Riders,Rachin Ravindra,Overseas,All Rounder,
3,Kolkata Night Riders,Anukul Roy,Indian,All Rounder,
3,Kolkata Night Riders,Vaibhav Arora,Indian,Bowler,
3,Kolkata Night Riders,Saurabh Dubey,Indian,Bowler,
3,Kolkata Night Riders,Kartik Tyagi,Indian,Bowler,
3,Kolkata Night Riders,Navdeep Saini,Indian,Bowler,
3,Kolkata Night Riders,Prashant Solanki,Indian,Bowler,
3,Kolkata Night Riders,Umran Malik,Indian,Bowler,
3,Kolkata Night Riders,Akash Deep,Indian,Bowler,
3,Kolkata Night Riders,Varun Chakravarthy,Indian,Bowler,
3,Kolkata Night Riders,Harshit Rana,Indian,Bowler,
3,Kolkata Night Riders,Mustafizur Rahman,Overseas,Bowler,
3,Kolkata Night Riders,Blessing Muzarabani,Overseas,Bowler,
3,Kolkata Night Riders,Matheesha Pathirana,Overseas,Bowler,
4,Royal Challengers Bengaluru,Rajat Patidar,Indian,Batter,Captain
4,Royal Challengers Bengaluru,Virat Kohli,Indian,Batter,
4,Royal Challengers Bengaluru,Tim David,Overseas,Batter,
4,Royal Challengers Bengaluru,Devdutt Padikal,Indian,Batter,
4,Royal Challengers Bengaluru,Phil Salt,Overseas,Wicket Keeper,
4,Royal Challengers Bengaluru,Jitesh Sharma,Indian,Wicket Keeper,
4,Royal Challengers Bengaluru,Jordan Cox,Overseas,Wicket Keeper,
4,Royal Challengers Bengaluru,Venkatesh Iyer,Indian,All Rounder,
4,Royal Challengers Bengaluru,Krunal Pandya,Indian,All Rounder,
4,Royal Challengers Bengaluru,Mangesh Yadav,Indian,All Rounder,
4,Royal Challengers Bengaluru,Vihaan Malhotra,Indian,All Rounder,
4,Royal Challengers Bengaluru,Jacob Bethell,Overseas,All Rounder,
4,Royal Challengers Bengaluru,Romario Shepherd,Overseas,All Rounder,
4,Royal Challengers Bengaluru,Kanishk Chouhan,Indian,All Rounder,
4,Royal Challengers Bengaluru,Jacob Duffy,Overseas,Bowler,
4,Royal Challengers Bengaluru,Josh Hazlewood,Overseas,Bowler,
4,Royal Challengers Bengaluru,Nuwan Thushara,Overseas,Bowler,
4,Royal Challengers Bengaluru,Bhuvneshwar Kumar,Indian,Bowler,
4,Royal Challengers Bengaluru,Yash Dayal,Indian,Bowler,
4,Royal Challengers Bengaluru,Suyash Sharma,Indian,Bowler,
4,Royal Challengers Bengaluru,Swapnil Singh,Indian,Bowler,
4,Royal Challengers Bengaluru,Rasikh Salam,Indian,Bowler,
4,Royal Challengers Bengaluru,Vicky Ostwal,Indian,Bowler,
4,Royal Challengers Bengaluru,Satvik Deswal,Indian,Bowler,
4,Royal Challengers Bengaluru,Abhinandan Singh,Indian,Bowler,
5,Gujrat Titans,Shubman Gill,Indian,Batter,Captain
5,Gujrat Titans,Sai Sudharsan,Indian,Batter,
5,Gujrat Titans,Shahrukh Khan,Indian,Batter,
5,Gujrat Titans,Jos Buttler,Overseas,Wicket Keeper,
5,Gujrat Titans,Tom Banton,Overseas,Wicket Keeper,
5,Gujrat Titans,Anuj Rawat,Indian,Wicket Keeper,
5,Gujrat Titans,Kumar Kushagra,Indian,Wicket Keeper,
5,Gujrat Titans,Washington Sundar,Indian,All Rounder,
5,Gujrat Titans,Rahul Tewatia,Indian,All Rounder,
5,Gujrat Titans,Manav Suthar,Indian,All Rounder,
5,Gujrat Titans,Nishant Sindhu,Indian,All Rounder,
5,Gujrat Titans,Rashid Khan,Overseas,All Rounder,
5,Gujrat Titans,Glenn Phillips,Overseas,All Rounder,
5,Gujrat Titans,Jason Holder,Overseas,All Rounder,
5,Gujrat Titans,Arshad Khan,Indian,Bowler,
5,Gujrat Titans,Ashok Sharma,Indian,Bowler,
5,Gujrat Titans,Kulwant Khejroliya,Indian,Bowler,
5,Gujrat Titans,Gurnoor Brar,Indian,Bowler,
5,Gujrat Titans,Mohammed Siraj,Indian,Bowler,
5,Gujrat Titans,Prasidh Krishna,Indian,Bowler,
5,Gujrat Titans,Sai Kishore,Indian,Bowler,
5,Gujrat Titans,Ishant Sharma,Indian,Bowler,
5,Gujrat Titans,Jayant Yadav,Indian,Bowler,
5,Gujrat Titans,Prithvi Raj,Indian,Bowler,
5,Gujrat Titans,Luke Wood,Overseas,Bowler,
5,Gujrat Titans,Kagiso Rabada,Overseas,Bowler,
6,Rajasthan Royals,Riyan Parag,Indian,Batter,Captain
6,Rajasthan Royals,Aman Rao,Indian,Batter,
6,Rajasthan Royals,Shubham Dubey,Indian,Batter,
6,Rajasthan Royals,Shimron Hetmyer,Overseas,Batter,
6,Rajasthan Royals,Yashasvi Jaiswal,Indian,Batter,
6,Rajasthan Royals,Ravi Singh,Indian,Batter,
6,Rajasthan Royals,Vaibhav Sooryavanshi,Indian,Batter,
6,Rajasthan Royals,Dhruv Jurel,Indian,Wicket Keeper,
6,Rajasthan Royals,Lhuan-dre Pretorius,Overseas,Wicket Keeper,
6,Rajasthan Royals,Ravindra Jadeja,Indian,All Rounder,
6,Rajasthan Royals,Sam Curran,Overseas,All Rounder,
6,Rajasthan Royals,Dasun Shanaka,Overseas,All Rounder,
6,Rajasthan Royals,Donovan Ferreira,Overseas,All Rounder,
6,Rajasthan Royals,Jofra Archer,Overseas,Bowler,
6,Rajasthan Royals,Nandre Burger,Overseas,Bowler,
6,Rajasthan Royals,Adam Milne,Overseas,Bowler,
6,Rajasthan Royals,Kwena Maphaka,Overseas,Bowler,
6,Rajasthan Royals,Vignesh Puthur,Indian,Bowler,
6,Rajasthan Royals,Sandeep Sharma,Indian,Bowler,
6,Rajasthan Royals,Brijesh Sharma,Indian,Bowler,
6,Rajasthan Royals,Sushant Mishra,Indian,Bowler,
6,Rajasthan Royals,Ravi Bishnoi,Indian,Bowler,
6,Rajasthan Royals,Kuldeep Sen,Indian,Bowler,
6,Rajasthan Royals,Yash Raj Punja,Indian,Bowler,
6,Rajasthan Royals,Tushar Deshpande,Indian,Bowler,
6,Rajasthan Royals,Yudhvir Singh,Indian,Bowler,
7,Sunrisers Hyderabad,Ishan Kishan,Indian,Wicket Keeper,Captain
7,Sunrisers Hyderabad,Travis Head,Overseas,Batter,
7,Sunrisers Hyderabad,Aniket Verma,Indian,Batter,
7,Sunrisers Hyderabad,Ravichandran Smaran,Indian,Batter,
7,Sunrisers Hyderabad,Heinrich Klaasen,Overseas,Wicket Keeper,
7,Sunrisers Hyderabad,Salil Arora,Indian,Wicket Keeper,
7,Sunrisers Hyderabad,Abhishek Sharma,Indian,All Rounder,
7,Sunrisers Hyderabad,Harsh Dubey,Indian,All Rounder,
7,Sunrisers Hyderabad,Krains Fuletra,Indian,All Rounder,
7,Sunrisers Hyderabad,Harshal Patel,Indian,All Rounder,
7,Sunrisers Hyderabad,Shivam Mavi,Indian,All Rounder,
7,Sunrisers Hyderabad,Nitish Kumar Reddy,Indian,All Rounder,
7,Sunrisers Hyderabad,Shivang Kumar,Indian,All Rounder,
7,Sunrisers Hyderabad,Brydon Carse,Overseas,All Rounder,
7,Sunrisers Hyderabad,Liam Livingstone,Overseas,All Rounder,
7,Sunrisers Hyderabad,Jack Edwards,Overseas,All Rounder,
7,Sunrisers Hyderabad,Kamindu Mendis,Overseas,All Rounder,
7,Sunrisers Hyderabad,Eshan Malinga,Overseas,Bowler,
7,Sunrisers Hyderabad,Pat Cummins,Overseas,Bowler,
7,Sunrisers Hyderabad,David Payne,Overseas,Bowler,
7,Sunrisers Hyderabad,Sakib Hussain,Indian,Bowler,
7,Sunrisers Hyderabad,Onkar Tarmale,Indian,Bowler,
7,Sunrisers Hyderabad,Jaydev Unadkat,Indian,Bowler,
7,Sunrisers Hyderabad,Zeeshan Ansari,Indian,Bowler,
7,Sunrisers Hyderabad,Praful Hinge,Indian,Bowler,
7,Sunrisers Hyderabad,Amit Kumar,Indian,Bowler,
8,Punjab Kings,Shreyas Iyer,Indian,Batter,Captain
8,Punjab Kings,Priyansh Arya,Indian,Batter,
8,Punjab Kings,Harnoor Singh,Indian,Batter,
8,Punjab Kings,Pyla Avinash,Indian,Batter,
8,Punjab Kings,Nehal Wadhera,Indian,Batter,
8,Punjab Kings,Vishnu Vinod,Indian,Wicket Keeper,
8,Punjab Kings,Prabhsimran Singh,Indian,Wicket Keeper,
8,Punjab Kings,Marco Jansen,Overseas,All Rounder,
8,Punjab Kings,Cooper Connolly,Overseas,All Rounder,
8,Punjab Kings,Mitchell Owen,Overseas,All Rounder,
8,Punjab Kings,Marcus Stoinis,Overseas,All Rounder,
8,Punjab Kings,Azmatullah Omarzai,Overseas,All Rounder,
8,Punjab Kings,Shashank Singh,Indian,All Rounder,
8,Punjab Kings,Suryansh Shedge,Indian,All Rounder,
8,Punjab Kings,Musheer Khan,Indian,All Rounder,
8,Punjab Kings,Arshdeep Singh,Indian,Bowler,
8,Punjab Kings,Yuzvendra Chahal,Indian,Bowler,
8,Punjab Kings,Harpreet Brar,Indian,Bowler,
8,Punjab Kings,Vishal Nishad,Indian,Bowler,
8,Punjab Kings,Vijaykumar Vyshak,Indian,Bowler,
8,Punjab Kings,Yash Thakur,Indian,Bowler,
8,Punjab Kings,Praveen Dubey,Indian,Bowler,
8,Punjab Kings,Xavier Bartlett,Overseas,Bowler,
8,Punjab Kings,Ben Dwarshuis,Overseas,Bowler,
8,Punjab Kings,Lockie Ferguson,Overseas,Bowler,
9,Delhi Capitals,Axar Patel,Indian,All Rounder,Captain
9,Delhi Capitals,Prithvi Shaw,Indian,Batter,
9,Delhi Capitals,Pathum Nissanka,Overseas,Batter,
9,Delhi Capitals,David Miller,Overseas,Batter,
9,Delhi Capitals,Karun Nair,Indian,Batter,
9,Delhi Capitals,Sahil Parakh,Indian,Batter,
9,Delhi Capitals,Nitish Rana,Indian,Batter,
9,Delhi Capitals,Abhishek Porel,Indian,Wicket Keeper,
9,Delhi Capitals,KL Rahul ,Indian,Wicket Keeper,
9,Delhi Capitals,Ben Duckett,Overseas,Wicket Keeper,
9,Delhi Capitals,Tristan Stubbs,Overseas,Wicket Keeper,
9,Delhi Capitals,Sameer Rizvi,Indian,All Rounder,
9,Delhi Capitals,Ashutosh Sharma,Indian,All Rounder,
9,Delhi Capitals,Ajay Mandal,Indian,All Rounder,
9,Delhi Capitals,Madhav Tiwari,Indian,All Rounder,
9,Delhi Capitals,Vipraj Nigam,Indian,Bowler,
9,Delhi Capitals,Tripurana Vijay,Indian,Bowler,
9,Delhi Capitals,Mukesh Kumar,Indian,Bowler,
9,Delhi Capitals,Kuldeep Yadav,Indian,Bowler,
9,Delhi Capitals,Auqib Nabi,Indian,Bowler,
9,Delhi Capitals,Kyle Jamieson,Overseas,Bowler,
9,Delhi Capitals,Dushmantha Chameera,Overseas,Bowler,
9,Delhi Capitals,Lungi Ngidi,Overseas,Bowler,
9,Delhi Capitals,Mitchell Starc,Overseas,Bowler,
9,Delhi Capitals,T Natrajan,Indian,Bowler,
10,Lucknow Super Giants,Rishabh Pant,Indian,Wicket Keeper,Captain
10,Lucknow Super Giants,Nicholas Pooran,Overseas,Wicket Keeper,
10,Lucknow Super Giants,Josh Inglis,Overseas,Wicket Keeper,
10,Lucknow Super Giants,Himmat Singh,Indian,Batter,
10,Lucknow Super Giants,Ayush Badoni,Indian,Batter,
10,Lucknow Super Giants,Akshat Raghuvanshi,Indian,Batter,
10,Lucknow Super Giants,Matthew Breetzke,Overseas,Batter,
10,Lucknow Super Giants,Aiden Markram,Overseas,Batter,
10,Lucknow Super Giants,Mukul Choudhary,Indian,Batter,
10,Lucknow Super Giants,Abdul Samad,Indian,Batter,
10,Lucknow Super Giants,Mitchell Marsh,Overseas,All Rounder,
10,Lucknow Super Giants,Arshin Kulkarni,Indian,All Rounder,
10,Lucknow Super Giants,Shahbaz Ahmed,Indian,All Rounder,
10,Lucknow Super Giants,Wanindu Hasaranga,Overseas,All Rounder,
10,Lucknow Super Giants,Akash Singh,Indian,Bowler,
10,Lucknow Super Giants,Avesh Khan,Indian,Bowler,
10,Lucknow Super Giants,Mohammed Shami,Indian,Bowler,
10,Lucknow Super Giants,Prince Yadav,Indian,Bowler,
10,Lucknow Super Giants,Naman Tiwari,Indian,Bowler,
10,Lucknow Super Giants,Mayank Yadav,Indian,Bowler,
10,Lucknow Super Giants,Digvesh Rathi,Indian,Bowler,
10,Lucknow Super Giants,Arjun Tendulkar,Indian,Bowler,
10,Lucknow Super Giants,Mohsin Khan,Indian,Bowler,
10,Lucknow Super Giants,Manimaran Siddharth,Indian,Bowler,
10,Lucknow Super Giants,Anrich Nortje,Overseas,Bowler,
